名称,営業日,住所,アクセス
うみきん UMIKIN 渋谷店,月～木: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）金～日、祝日、祝前日: 16:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都渋谷区宇田川町26-4 Lu82ビル 4F,【個室喫煙OK】渋谷駅ハチ公口徒歩1分。文化村通りに入ってすぐのコンビニがあるビルの4階です。駅前での待合せも容易！
鳥世界 渋谷道玄坂店,月～日、祝日、祝前日: 17:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）,東京都渋谷区道玄坂２-28-5 道玄坂SUNビル３F,渋谷駅ハチ公口徒歩3分。道玄坂の途中にあるロイヤルホストさんの先です。道案内など気兼ねなくお問い合わせください。
楽蔵 うたげ 渋谷駅前店,月～金、日、祝日、祝前日: 17:00～23:30土: 16:00～23:30,東京都渋谷区渋谷１-24-12 渋谷東映プラザビル6Ｆ,JR 渋谷駅東口徒歩1分／地下鉄渋谷駅10番出口徒歩1分／銀座線・半蔵門線・副都心線渋谷駅宮益坂口出口 徒歩1分
北海道 渋谷駅前店,月～金: 11:30～14:30 （料理L.O. 14:00）16:00～21:00 （料理L.O. 20:30 ドリンクL.O. 20:30）土、日、祝日: 16:00～21:00 （料理L.O. 20:30 ドリンクL.O. 20:30）祝前日: 11:30～14:30 （料理L.O. 14:00）16:00～21:00 （料理L.O. 20:30 ドリンクL.O. 20:00）,東京都渋谷区渋谷１－２４－１０　渋谷全線座ビル３Ｆ,JR渋谷駅宮益坂口 徒歩1分/東急東横線渋谷駅宮益坂口 徒歩1分/東京メトロ副都心線渋谷駅 徒歩1分
もんじゃお好み焼き 鉄板バル Don Accino ドンアッチーノ 渋谷店,月～日、祝日、祝前日: 12:00～20:00 （料理L.O. 19:30 ドリンクL.O. 19:30）,東京都渋谷区宇田川町33-10 J+RビルサイドJ1F,渋谷駅5分◆ 東急本店向かいのビル隣、路面店です。
個室肉バル Calluna カルーナ 渋谷駅前店,月～日、祝日、祝前日: 12:00～14:30 （料理L.O. 14:00 ドリンクL.O. 14:00）15:00～翌0:30 （料理L.O. 翌0:00 ドリンクL.O. 翌0:00）,東京都渋谷区道玄坂１-5-5 藤木ビル3階,渋谷駅徒歩1分（和牛シュラスコ・和牛肉寿司・食べ放題）
御八 みはち 渋谷駅前店,月～日、祝日、祝前日: 15:00～23:30 （料理L.O. 22:30 ドリンクL.O. 22:45）,東京都渋谷区道玄坂２－８－７　道玄坂ビルＢ１,ＪＲ渋谷駅ハチ公口徒歩3分　京王井の頭線渋谷駅西口徒歩1分
肉バル サルーテジャポン渋谷店,月～日: 11:00～15:00 （料理L.O. 14:00 ドリンクL.O. 14:30）16:00～21:00 （料理L.O. 20:00 ドリンクL.O. 20:00）祝日、祝前日: 11:00～15:00 （料理L.O. 14:00 ドリンクL.O. 14:30）16:00～20:00 （料理L.O. 20:00 ドリンクL.O. 20:00）,東京都渋谷区道玄坂２－２８－２－４Ｆ,渋谷駅徒歩3分《シュラスコ&肉寿司食べ放題》
LUXURY BAR&KARAOKE PALACE パレス 渋谷駅前店,月～日、祝日、祝前日: 17:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）,東京都渋谷区渋谷１-25-6 渋谷パークサイド共同ビル 4F,■JR渋谷駅ハチ公口徒歩30秒！宮下パーク入口ビル４階です！
マヤクポチャ MAYAK POCHA 渋谷センター街店,月～木、日、祝日: 11:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）金、土、祝前日: 11:00～翌4:00 （料理L.O. 翌3:30 ドリンクL.O. 翌3:30）,東京都渋谷区宇田川町26－11　２F,渋谷駅ハチ公口徒歩3分バスケットボールストリート（渋谷センター街）通りの１階ウエンディーズ伸ビル2階
貸切パーティ LIFE ライフ,月～日、祝日、祝前日: 17:00～翌5:00 （料理L.O. 翌5:00 ドリンクL.O. 翌5:00）,東京都渋谷区宇田川町３２-６　長崎ビル４F　渋谷駅徒歩５分/HEROと同じフロアになります。,【★女子会・誕生日・合コン・貸切に最適★】
焼肉 USHIHACHI 渋谷店,月～日、祝日、祝前日: 11:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都渋谷区道玄坂２-3-1 渋谷駅前ビル　４F,東京メトロ、東急、京王井の頭線渋谷駅より徒歩約1分/ＪＲ、東京メトロ銀座線渋谷駅ハチ公口より徒歩約1分
貸切パーティールーム デバージ DeBarge 渋谷,月～日、祝日、祝前日: 12:00～23:30 （料理L.O. 23:30 ドリンクL.O. 23:30）,東京都渋谷区道玄坂１－３－６　香山ビル７Ｆ,【渋谷駅から徒歩1分】貸切パーティー専門店（飲み放題＋料理付き）　http://www.debarge.jp/
個室居酒屋 座楽 渋谷店,月～日、祝日、祝前日: 15:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）,東京都渋谷区渋谷１-２５-６ 渋谷パークサイド共同ビル３Ｆ,★Go To Eat各店舗★渋谷駅から一番（！？）近い居酒屋なので待ち合わせ・解散も楽ちん！人混みを避けて集合解散◎
和牛焼肉食べ放題 肉屋の台所 渋谷宮益坂店,月～日、祝日、祝前日: 12:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都渋谷区渋谷１-25-6　パークサイド共同ビル5F ,【JR渋谷駅徒歩30秒】焼肉食べ放題宴会！本格黒毛和牛がリーズナブルに★個室6名様～8名様／貸切100名様まで可能！
リコピンモンスーン Lycopene Monsoon 渋谷警察署前店,月～日、祝日、祝前日: 11:00～21:00 （料理L.O. 20:00 ドリンクL.O. 20:00）,東京都渋谷区渋谷３－１８－５ー３Ｆ,■ 渋谷駅徒歩5分※貸切など…無料下見だけも大歓迎♪路地裏に存在する隠れ家スポット★
